Christian McCaffrey	CAR	286.4	1281	11.6	88.6	698.8	4	1	334.1
Dalvin Cook	MIN	314.8	1466.4	12.2	53.4	445.3	2.3	1.8	301.3
Derrick Henry	TEN	332.9	1632.1	14.3	24.4	180	1.1	1.3	283.1
Alvin Kamara	NO	198	915.5	9.7	78.5	699.4	3.7	0.8	279.5
Saquon Barkley	NYG	260.2	1202.5	9.3	56.3	439.6	2.3	0.6	260.2
Ezekiel Elliott	DAL	276.6	1204.3	9.3	55.4	420.6	2.6	1.8	258.1
Jonathan Taylor	IND	275	1269.1	10.9	39.7	299.9	1.8	0.9	251
Aaron Jones	GB	231.1	1113.6	10.2	50.4	389.6	2.7	1.2	250
Nick Chubb	CLE	258.8	1268.9	11.3	31.4	239.8	1.3	0.9	240.7
Austin Ekeler	LAC	189	866.8	5.3	76.1	626.6	3.9	1.1	240
Joe Mixon	CIN	275.6	1178	8.1	50.6	368.2	2.2	1	239.5
Najee Harris	PIT	269.1	1203	8.7	45.8	338	2	1.2	238.8
Antonio Gibson	WAS	250.8	1121.7	9.6	47.9	359.4	1.9	1.2	238.7
Clyde Edwards-Helaire	KC	221.7	989.9	7.4	52.8	399.6	2.6	0.5	224.2
Chris Carson	SEA	235.8	1080.6	7.8	42.6	319.6	2.2	1.1	219.2
David Montgomery	CHI	260.1	1101.8	7.4	42	328.5	1.5	0.9	215.9
D'Andre Swift	DET	199.1	892.4	7.3	58.2	426.1	2.2	1.6	214.4
Josh Jacobs	LV	259.1	1109.3	9.3	33	247.9	1.2	1	213.1
Miles Sanders	PHI	229.6	1078.6	7.3	41.3	329.6	1.6	1.6	211.5
James Robinson	JAC	229.2	986	6.7	49	352.2	1.6	1.3	205.5
J.K. Dobbins	BAL	215	1035.9	8.8	33.4	249.4	1.6	1.1	205.5
Mike Davis	ATL	233.2	955.5	6.8	42.4	272.8	1.3	0.8	190.8
Chase Edmonds	ARI	171.9	760.4	5.3	54.3	391.6	2.5	1	187.4
Darrell Henderson	LAR	178.5	769.9	7	30.1	243.3	1.6	0.4	167.4
Myles Gaskin	MIA	172	736.3	5.2	41.9	318.2	1.7	0.9	166.1
Kareem Hunt	CLE	149.3	655.7	5.1	40.7	330.8	2.3	0.6	162.1
Damien Harris	NE	221.8	979.5	7.1	15.2	110.8	0.4	0.8	159.7
Javonte Williams	DEN	191	851.5	5.9	25.7	189.7	1.1	0.9	156.9
Raheem Mostert	SF	155	752.7	5.9	26.7	215.1	1.1	0.8	150.6
Zack Moss	BUF	154.5	668.1	5.5	28.3	207	1.2	0.3	141.2
Leonard Fournette	TB	163.7	682	5.9	24.6	165.4	1.1	0.5	137.8
Sony Michel	LAR	176.5	765	6	17.2	139.2	0.6	0.5	137.8
Kenyan Drake	LV	120.3	507.7	4.1	41.5	289	1.4	0.7	131.6
Trey Sermon	SF	147.4	668.4	5.6	20.3	154.3	1	0.6	130.7
Melvin Gordon III	DEN	154.2	677.2	5.1	22.5	150.8	1	1.8	126.7
Ronald Jones II	TB	166.1	742.4	5.5	15.3	104.2	0.4	0.8	126.4
Jamaal Williams	DET	137.6	577.2	3.7	32.2	220.2	1	0.4	123.2
Michael Carter	NYJ	137.5	579.8	3.6	30.6	221.6	1.1	0.7	122.6
David Johnson	HOU	106.6	446.4	3.7	32.6	278.5	1.6	0.6	119.5
AJ Dillon	GB	137.1	625.4	4.8	20	152.5	0.7	0.9	119
James Conner	ARI	138	583.5	5.1	23	160.7	0.6	0.8	118.7
Gus Edwards	BAL	146.5	693.1	5.5	11.7	90.2	0.4	0.7	118.1
J.D. McKissic	WAS	59.6	249.2	1.4	57.2	430.8	2	0.6	115.6
Tony Pollard	DAL	108.4	483.8	2.9	32.6	243.7	1.4	0.3	114.3
Phillip Lindsay	HOU	139.3	610.3	3.8	22.8	155.1	0.5	0.3	113.5
Devin Singletary	BUF	118.3	517.7	3	29.1	206.6	1.3	0.6	112
Nyheim Hines	IND	53.7	234.3	1.8	49.8	374.6	2.3	0.3	109.7
James White	NE	51	208.7	1.7	51.4	404.2	2.1	0.4	109.1
Malcolm Brown	MIA	118.9	486.8	4.5	18.7	126.1	0.6	0.5	100
Tevin Coleman	NYJ	123.9	517.8	3.6	16.8	127.6	0.5	0.4	96.8
Alexander Mattison	MIN	113	500.4	3	16.9	131.5	0.5	0.4	91.7
Darrel Williams	KC	69	292.3	2.3	22.3	160.2	1	0.3	75.8
Carlos Hyde	JAC	95.6	388	2.5	17.1	109	0.4	0.6	74.8
Ty Johnson	NYJ	81.9	354.5	2.3	17.6	119.2	0.7	0.3	74
Rashaad Penny	SEA	83.2	370.7	2.6	14.7	108.9	0.5	0.3	73.8
Latavius Murray	NO	80.2	334.8	2.1	18.6	136.8	0.8	0.3	73.5
Darrynton Evans	TEN	71.8	307.5	2.4	19	142.4	0.7	0.4	72.1
Giovani Bernard	TB	39.2	157.7	0.9	35	254.4	1.3	0.3	71
Damien Williams	CHI	62.1	269	2.2	19.3	147.4	1	0.3	69.8
Justin Jackson	LAC	83.4	370.2	1.8	14.7	106.4	0.5	0.2	68.7
Tarik Cohen	CHI	32.2	140.9	0.7	34.2	248.6	1.3	0.3	67.3
Boston Scott	PHI	63.5	265.5	1.9	20.8	161.2	0.5	0.3	67.2
Qadree Ollison	ATL	90.1	370.8	2.8	10.1	70.4	0.3	0.4	66.5
Rhamondre Stevenson	NE	83.4	344.6	2.9	9.8	67.6	0.2	0.3	64.1
Joshua Kelley	LAC	74.6	297.3	1.9	11.4	82.1	0.2	0.4	55.5
Marlon Mack	IND	67.8	292.6	2.5	8.3	59.8	0.2	0.2	55.4
Devontae Booker	NYG	68.2	280.7	1.7	11.4	83.5	0.2	0.4	53
Cordarrelle Patterson	ATL	45.1	205.9	1.3	15	131.8	0.7	0.2	52.8
Mark Ingram II	HOU	59.3	253.9	1.6	11.9	88.6	0.3	0.3	50.8
Salvon Ahmed	MIA	63.3	265.3	1.7	10	66.1	0.3	0.3	49.9
Samaje Perine	CIN	58.7	243	1.3	11.7	79.6	0.3	0.2	47.1
Chuba Hubbard	CAR	52.8	227.2	1.6	8.4	62.8	0.2	0.3	43.7
Kyle Juszczyk	SF	13.1	50.5	0.6	17.4	171.7	1	0.3	39.5
Mike Boone	DEN	43.1	193.1	1.4	8	55.9	0.2	0.1	38.1
Peyton Barber	WAS	50.4	190.9	1.9	4.7	33.1	0.1	0.1	36.4
DeeJay Dallas	SEA	30.7	127.8	1.1	11.6	82.6	0.5	0.2	35.8
Benny Snell Jr.	PIT	47.3	181.3	1.3	6.8	47.3	0.1	0.2	34.6
Jalen Richard	LV	20.2	88.5	0.3	14.5	113.5	0.6	0.2	32.3
Tony Jones Jr.	NO	49.6	158.5	1	7.6	57.7	0.2	0.2	32.3
Xavier Jones	LAR	31.6	130.5	1.3	7.9	58.6	0.2	0.2	31.4
Larry Rountree III	LAC	36.8	154.8	1.4	4.6	34.9	0.2	0.2	30.4
Jermar Jefferson	DET	27.9	113.8	0.8	10.6	78.7	0.1	0.1	29.9
J.J. Taylor	NE	32.7	140.8	1.2	5.8	42.9	0.2	0.2	29.1
Kenneth Gainwell	PHI	27.8	115.3	0.7	10.2	73.6	0.2	0.1	28.6
Wayne Gallman	SF	33.6	139.9	1.1	5.8	43.2	0.2	0.3	28.6
Matt Breida	BUF	29.4	127.6	0.7	6	48.2	0.3	0.2	26.2
Jaylen Samuels	PIT	26.5	111	0.6	7.6	50.8	0.3	0.1	25.6
Brian Hill	TEN	31.3	137.5	0.7	5.7	40.1	0.2	0.3	25.4
Brandon Bolden	NE	28.5	123.7	1	3.6	26.7	0.2	0	23.9
Elijah Mitchell	SF	18.6	78.2	0.6	7.4	59	0.3	0.1	22.8
Devonta Freeman	NO	16	65.1	0.5	7.6	60.9	0.4	0	21.8
Jerick McKinnon	KC	21.5	95.1	0.4	6.8	48.2	0.2	0.1	21.4
Trayveon Williams	CIN	18.5	80.4	0.4	6.1	44.1	0.3	0.1	19.6
Anthony McFarland Jr.	PIT	22.1	92.6	0.4	5.8	44.2	0.1	0.1	19.4
La'Mical Perine	NYJ	26.2	110.6	0.8	2.5	19	0.1	0.2	18.9
Jaret Patterson	WAS	25.1	104.3	0.8	2.2	18.1	0.1	0.1	18.7
Chris Evans	CIN	24.4	96.9	0.4	4.4	32.8	0.2	0.1	18.4
Justice Hill	BAL	19.1	87.8	0.6	4.3	30.9	0.1	0.1	18.1
Rex Burkhead	HOU	13.8	57.3	0.4	5.4	45	0.3	0.1	17
Kylin Hill	GB	25.1	101.9	0.3	3.7	27.8	0.1	0.1	16.9
Ty Montgomery	NO	11.5	41	0	10	73.9	0	0	16.7
Dare Ogunbowale	JAC	7.1	30.6	0.2	8.6	66.2	0.3	0.1	16.7
Gerrid Doaks	MIA	16.3	68	0.6	4.4	32.7	0.1	0.1	16.3
Jake Funk	LAR	12.3	51	0.6	4.7	37.5	0.2	0.1	15.8
Travis Homer	SEA	15.5	65.6	0.3	4.2	30.5	0.1	0.1	13.9
Alec Ingold	LV	4.4	18.8	0.2	6.6	54.5	0.3	0.1	13.2
Ameer Abdullah	MIN	12.6	50.3	0.1	5.3	38.1	0.2	0.1	13
Ke'Shawn Vaughn	TB	15	63.8	0.5	2.3	16.5	0.1	0	12.7
Royce Freeman	DEN	14.3	59.9	0.4	3.3	20.5	0.1	0	12.7
C.J. Ham	MIN	4.7	19.9	0.2	5.9	49.8	0.3	0.1	12.6
Trey Edmunds	PIT	14.8	64	0.4	2.4	16.1	0.2	0	12.5
D'Ernest Johnson	CLE	17.9	76.5	0.3	2.3	17.1	0	0.1	12.5
D'Onta Foreman	ATL	16.8	69.6	0.5	1.6	12.5	0	0.2	11.6
Kene Nwangwu	MIN	16.3	65.7	0.2	2.4	17.8	0	0	10.7
Jordan Howard	PHI	16.5	60.2	0.4	1.6	11.7	0	0.1	10.2
Alex Collins	SEA	12.5	52.5	0.5	1.4	10.6	0.1	0.2	10
Eno Benjamin	ARI	15	60.7	0.3	1.7	12.2	0	0.1	9.8
Khalil Herbert	CHI	9.7	40.3	0.3	2.8	22	0.1	0.1	9.7
Reggie Bonnafon	CAR	14.3	52.3	0.1	2.9	21.5	0	0	9.4
Andrew Beck	DEN	4.9	21.2	0.2	4.3	29.2	0.2	0	9.2
Corey Clement	NYG	10.7	44.9	0.4	1.6	12.2	0	0.1	9.1
Demetric Felton	CLE	9	38.2	0.4	2	16	0.1	0	9.1
Alex Armah	NO	4.2	17.4	0.2	4.1	33.3	0.2	0.1	9
Buddy Howell	HOU	4	17.3	0.2	4.1	29.3	0.2	0	8.7
Jeremy McNichols	TEN	10.6	48.6	0	2.9	23.1	0	0	8.6
Patrick Ricard	BAL	0.8	3.6	0	4.8	36.1	0.2	0.1	7.5
Gary Brightwell	NYG	12	52.4	0.1	1.5	11	0	0	7.5
