DAL	47.6	14.9	12.6	20.6	2.8	0	365.1	5659.3	119.3
PHI	55.6	12.3	9.6	16.4	2.7	0.4	354.6	5350.7	116.6
NE	46.6	15.3	9.5	14.3	3	0.1	358.3	5688.9	114.3
IND	45.2	14.1	11.5	17.8	2.3	0.9	388.4	5515.1	111.7
PIT	51.4	15.2	8.8	12.3	1.9	0.1	355.1	5590.2	111.1
CLE	46.1	14.1	10	16.4	2.5	0.2	369	5497.1	109.5
SF	48.5	13.3	10.1	17.5	2.3	0	314	5404.4	109.3
WAS	49.3	13	9.6	16.6	2.3	0.5	380.7	5589.6	109.2
NO	48.1	14.4	9	13.8	2.2	0.2	338.8	5179.8	108.5
KC	46.9	12.7	9.8	15.1	2.6	0.5	368.5	5605.8	108.1
MIA	46.6	13.7	9.5	15.7	2.2	0.5	376.4	5539.4	107.5
GB	43.3	15.6	8.9	14	2.3	0.5	373.9	5837.4	107.1
BUF	43.9	15	9.8	15	1.9	0.6	325.5	5488.5	106.1
LAC	42.9	14.3	10	16	2	0.6	401.7	6132.9	104.9
SEA	44.2	13.5	10.1	16.5	2	0.7	382.3	5917	104.7
NYJ	46	13.5	8.1	14.6	2.2	1	354.7	5324.2	104.6
HOU	41.5	14.2	11	16.1	1.9	0.5	394.2	5655.1	104.3
MIN	43.4	13.9	10.1	16.1	2.1	0.2	421.7	6042.2	104.3
DET	42.4	13	10.6	18.1	2.2	0.6	411	6127.9	103.8
TB	44	11.7	11.5	19.1	2.1	0.1	381.2	5612.4	103.1
BAL	45.7	12	10.3	17.9	2.1	0.2	338.6	5671.8	102.9
LAR	44.9	13.4	8.6	12.3	2.2	0.1	384.4	5747.9	102.2
JAC	39.2	13.3	10.4	17.6	2.3	0	353.8	5553.6	100.6
CAR	41.2	12.1	9.9	14.4	2.3	0.3	371.1	5442.7	99.9
TEN	41	14.1	8.3	12.8	2.3	0.1	350.3	5475.2	99.5
NYG	41.5	12.2	10.4	17.4	1.9	0.5	386.6	5940	99.2
CIN	39.5	13.7	10.2	16.6	1.9	0.1	347.2	5709.4	99.2
DEN	41.5	14.3	9	15.5	1.8	0.1	364.8	5544.6	99.2
ARI	41.8	11.6	10.4	16.7	2	0.1	407	5630.6	98.4
ATL	33	14.4	10.1	17.4	2.2	0.6	379.7	5802	96.6
CHI	35.7	12.7	9.6	15.4	1.8	0.6	398.9	6265.9	92.4
LV	36.2	10	9	14	2.2	0.5	412.1	6010.1	88.5
