NE	17	54	11	19	7	347	5803	0	1
DAL	17	54	17	16	3	342	5953	0	0
PHI	17	70	10	17	2	344	5513	0	0
SF	17	44	10	20	3	277	5397	0	0
BUF	16	40	10	17	1	286	5715	1	2
JAC	17	35	13	14	4	350	6191	0	0
KC	17	55	9	11	2	369	5934	1	0
ARI	17	36	9	11	5	449	6188	0	0
BAL	17	48	11	14	0	315	5785	0	1
HOU	17	39	11	16	1	420	6613	1	0
SEA	17	45	11	14	1	401	6409	0	0
GB	17	34	7	16	2	371	5887	1	1
MIN	17	38	10	15	1	427	6832	0	1
WAS	17	43	9	9	3	343	5399	1	0
IND	17	44	11	10	2	427	5943	0	0
SD	17	40	10	14	1	384	6171	1	0
DET	17	39	10	12	1	427	6852	0	1
PIT	17	40	3	20	1	346	5878	0	0
CLE	17	34	9	11	2	381	5824	0	1
NYG	17	41	13	6	2	371	6327	0	0
TB	17	45	10	10	1	358	5793	0	0
LAR	17	38	6	16	1	384	6048	0	0
CAR	17	35	7	10	3	374	6135	0	0
TEN	17	39	6	14	1	359	6233	0	0
CIN	16	30	11	13	1	322	5880	0	0
DEN	17	36	8	15	0	359	5662	1	0
NO	17	48	7	7	1	345	5601	0	0
MIA	17	40	6	8	2	399	5984	1	0
NYJ	17	45	4	12	0	316	5559	2	0
LV	17	27	7	6	3	418	6354	0	0
ATL	17	21	7	10	1	386	6295	1	1
CHI	17	20	9	14	0	463	6490	0	0
