Zamir White	LV	76.7	325.3	2.9	10.7	93.5	0.4	1.2	64.5
D'Onta Foreman	CAR	82.5	392.9	2.4	7.7	70.4	0.2	0.9	64.4
Sony Michel	MIA	100.4	383.6	2.5	8.9	57.6	0.1	0.5	63.5
Samaje Perine	CIN	65.7	279.8	1.4	18	123.2	0.6	0.6	60.4
Matt Breida	NYG	76	317.4	1.5	13	100.7	0.7	1.5	58.8
Boston Scott	PHI	65.8	287.8	2.9	8.5	64	0.2	0.2	57.7
Tyrion Davis-Price	SF	59.8	248.8	2	11	101.3	0.3	1.1	52
Chuba Hubbard	CAR	53.9	209.5	1.5	13.1	90.6	0.5	0.5	47.5
Hassan Haskins	TEN	63.6	274.2	1.6	8	63.7	0.4	1.1	47.4
Kyle Juszczyk	SF	12.2	39.2	0.6	24.4	198.8	1.2	0.1	47
D'Ernest Johnson	CLE	33.8	197.8	1.4	8.9	70.1	0.2	0.1	40.6
Ameer Abdullah	LV	17	111.9	0.5	17.4	139.5	0.6	0.4	39.3
Chris Evans	CIN	27.3	107.4	0.6	16.2	117.5	0.8	0.1	38.8
Justin Jackson	DET	26.8	167.2	1.2	9.8	78	0.4	0.2	38.6
Ke'Shawn Vaughn	TB	47.2	194.5	2	6.8	45.2	0.1	0.7	38.5
Ryan Nall	DAL	109	176.1	1.1	8.6	64.6	0.7	0.5	38.1
Phillip Lindsay	IND	45.1	228	1.5	3.9	29.1	0.1	0.1	37
Craig Reynolds	DET	36.6	163	0.6	10.4	79.4	0.4	0.5	34.7
Jeff Wilson Jr.	SF	32.7	128.8	1.2	9.7	73.1	0.5	0.3	34.4
Eno Benjamin	ARI	37.6	173.2	1.3	6.7	53	0.2	0.2	34.3
Brandon Bolden	LV	23.9	103.1	0.5	14.3	127.8	0.3	1	33.3
Giovani Bernard	TB	16.1	102.1	0.6	12.5	94.7	0.6	0.2	32.8
Tevin Coleman	NYJ	24.9	171.4	0.9	8.1	54.8	0.1	0.3	31.8
Jaret Patterson	WAS	33.2	164.1	1.3	6.2	41.8	0.1	0.8	30.7
Travis Homer	SEA	15.9	97.7	0.5	10.8	91.4	0.4	0.1	30
Mike Davis	BAL	24.9	135.9	0.8	9.7	61.7	0.2	0.5	29.5
Benny Snell Jr.	PIT	41.6	166.6	1	5.4	36.8	0.1	0.2	29.3
Duke Johnson Jr.	BUF	27	122.7	0.9	6.7	61.1	0.2	0.5	27.5
Zack Moss	BUF	30.2	136.5	1	4.7	34.4	0.2	0.1	26.5
Anthony McFarland Jr.	PIT	20.9	119	0.7	5.6	40.8	0.4	0.1	25.5
Jermar Jefferson	DET	26.9	114	1.3	4.8	32.5	0	0	25
Joshua Kelley	LAC	17.4	130.1	0.8	5.8	43.2	0.2	0.8	24.6
Myles Gaskin	MIA	22.8	107.9	0.6	7.6	47.5	0.1	0.1	23.4
DeeJay Dallas	SEA	17.6	70.7	0.5	10.1	64.9	0.4	0.2	23.2
J.J. Taylor	NE	22.4	110.1	1.3	3.2	19.4	0.1	0.1	23.1
Pierre Strong Jr.	NE	18.8	80.2	0.8	7.1	55.6	0.2	0.1	23
Justice Hill	BAL	22.1	88.8	0.7	5.9	41.7	0.1	0	21.2
Gary Brightwell	NYG	22.7	87.1	0.7	5.9	44.9	0.1	0.1	20.8
Trey Sermon	SF	20.5	84.2	0.9	5.5	36.9	0.1	0	20.6
Tony Jones Jr.	NO	28.3	108.8	0.5	4.9	36.1	0.1	0.1	20.1
Royce Freeman	HOU	15.1	61.9	0.4	8.5	55.6	0.3	0	19.8
Demetric Felton Jr.	CLE	3.6	25.2	0.1	9.4	82.8	0.6	0	19.5
Patrick Ricard	BAL	2.7	7	0.1	11.2	76	0.8	0	19
Dare Ogunbowale	HOU	13	51.8	0.2	8.8	67.3	0.2	0.1	18.6
Kene Nwangwu	MIN	21.5	87.1	0.6	4.1	26	0.1	0.1	17.9
C.J. Ham	MIN	5.4	15.3	0.1	9.8	70.5	0.4	0	16.6
Kyren Williams	LAR	15.7	66.9	0.9	3.7	28.4	0	0.1	16.6
Kevin Harris	NE	20.3	86.4	0.6	3	24.3	0	0	16.4
Mike Boone	DEN	14.5	76.4	0.7	3.5	25.3	0.1	0	16.4
Darwin Thompson	SEA	0	75.6	0.6	3.8	28.8	0.2	0.1	16.4
Tory Carter	TEN	9.5	44	0.5	6.9	49.2	0.1	0	16.3
Snoop Conner	JAC	19.7	80	0.4	4.6	32.8	0.1	0.1	16.2
Ty Chandler	MIN	21.3	86.1	0.4	4	31	0	0	16
JaMycal Hasty	SF	10.5	32.3	0.4	6.4	49	0.2	0	14.8
Jerome Ford	CLE	17	86.3	0.5	2	18.5	0	0	14.6
Tyler Badie	BAL	18.5	90.1	0.4	2.3	17.7	0	0	14.4
Rico Dowdle	DAL	17.2	70.2	0.4	3.7	27	0.1	0	14.3
Keith Smith	ATL	8.1	24.4	0.2	7	45.8	0.3	0.1	13.2
Keaontay Ingram	ARI	20.7	84.9	0.2	2.6	18.9	0	0.1	13
